text,label,source,writing_style
3jibtni fil klem likoltu ama leken lkolo fan,positive,kaggle_moroccan_sentiment,mixed
itbarkallah alik,positive,kaggle_moroccan_sentiment,mixed
3alamiaaaaaaaaa,positive,kaggle_moroccan_sentiment,mixed
"Rasou kil karkaden .""",negative,kaggle_moroccan_sentiment,mixed
malla taféhét,negative,kaggle_moroccan_sentiment,mixed
بداية محترمة,positive,kaggle_moroccan_sentiment,mixed
ملا زين وملا وهرة لماكياج بدلك complètement,positive,kaggle_moroccan_sentiment,mixed
Soutek 3alamiiii,positive,kaggle_moroccan_sentiment,mixed
البت دي خبرة.....مرمدك سيدك وليد يا كلبة ...تونس برجالها و إسلامها و دينها واضح الإسلام والكلاب لتنبح كيفك عندها الرجال لتسكتكم,negative,kaggle_moroccan_sentiment,mixed
Bader yam3alem,positive,kaggle_moroccan_sentiment,mixed
bravo letfi bere8am ini f hala nifsiya harija ili ini de7aket merci,positive,kaggle_moroccan_sentiment,mixed
Bravo semi weli mouch 3ajbou ma3adech yetfarej,positive,kaggle_moroccan_sentiment,mixed
yeser mar5oufa yelzem wa7ed yekbeselha rwachekha maaaaaaaaaaaaaasta laaaaaaaaaaasta,negative,kaggle_moroccan_sentiment,mixed
"شيب ولعيب والمسرح معادش""يعنييك يعنييك يعنييك  قلت حياء يا عزوزة",negative,kaggle_moroccan_sentiment,mixed
wahdik  hasilou,positive,kaggle_moroccan_sentiment,mixed
ممسطوا  شكيب طلعلي الدم,negative,kaggle_moroccan_sentiment,mixed
سؤال بسيط . كيفش تنجمو تبيعو رواحك للدرجة هذي . قناة الوبنة و القحب,negative,kaggle_moroccan_sentiment,mixed
Mala manadher,negative,kaggle_moroccan_sentiment,mixed
الدلّاجي معلم. أي واحد يغلط.,positive,kaggle_moroccan_sentiment,mixed
بهيم و طحان و الله ما يموت أشنع موتة بإذن الله..يمهل و لا يهمل,negative,kaggle_moroccan_sentiment,mixed
محلااااها..نحبها برشا و منورة كلام الناس,positive,kaggle_moroccan_sentiment,mixed
Mala 8acha w mala 7ala pffff,negative,kaggle_moroccan_sentiment,mixed
قحبة كبيرة,negative,kaggle_moroccan_sentiment,mixed
Ma7leeeha  chay. Kbir 🌹🌹🌹🌹🌹,positive,kaggle_moroccan_sentiment,mixed
الحقارة والنذالة والسفالة لها عنوان واحد توفيق الغربي,negative,kaggle_moroccan_sentiment,mixed
عفشه عفشه,negative,kaggle_moroccan_sentiment,mixed
برافو امين في كل مرة تجيبلنا تحفة كيفك هههههههه,positive,kaggle_moroccan_sentiment,mixed
انا توا عرفتها وقت نتفرج على المسلسل  تبارك الله عليها,positive,kaggle_moroccan_sentiment,mixed
msat hal brnmj dhouyofo wlw mastin mtl9a mt7ki 3lihm,negative,kaggle_moroccan_sentiment,mixed
bravoooooooo,positive,kaggle_moroccan_sentiment,mixed
Malla dima ani9a,positive,kaggle_moroccan_sentiment,mixed
أحترماتي,positive,kaggle_moroccan_sentiment,mixed
Ma3jbnich elila,negative,kaggle_moroccan_sentiment,mixed
Maset!!,negative,kaggle_moroccan_sentiment,mixed
ممصتهم الكل,negative,kaggle_moroccan_sentiment,mixed
توا هذا منظر حاشة خليقة ربي !! ملا رهوط,negative,kaggle_moroccan_sentiment,mixed
M3alel m3alem m3aleeeeeerm,positive,kaggle_moroccan_sentiment,mixed
Maryouma ebkolha 3sal tbarkallah 3liha,positive,kaggle_moroccan_sentiment,mixed
ملا منضر فيه تيماهو استر روحك شي عيف,negative,kaggle_moroccan_sentiment,mixed
waaw bayen fiha sahra itfata9 9araret nirkech fi eddar hhhhh kol 3am w kol etwansa ou tounes balf 5iiir amiiiiin,positive,kaggle_moroccan_sentiment,mixed
جعفووووووووووووووووووو ررررررر جعففوووووووووووورررررررر انت تحفون و ديمااا بجوك و. محفلهاااا ربي يخليك يا معلم,positive,kaggle_moroccan_sentiment,mixed
تعجبني خير من برشا invitee جابهم نوفل,positive,kaggle_moroccan_sentiment,mixed
oui masset barcha w maydhaakech,negative,kaggle_moroccan_sentiment,mixed
Tabarklah 3likom rabi ehanikom,positive,kaggle_moroccan_sentiment,mixed
Rak Mast hhhhhhhhhh rak Last hhhhh,negative,kaggle_moroccan_sentiment,mixed
mra b 1000 rajel,positive,kaggle_moroccan_sentiment,mixed
الموت ديال الضحك,positive,huggingface_darija_reviews,Arabic
masa5,negative,kaggle_moroccan_sentiment,mixed
Tahkki f l ma39oul w adhekka howwa l 7aal tw,positive,kaggle_moroccan_sentiment,mixed
Meli sma3t esmou walit na8hk wa7di n7eeeebou :*,positive,kaggle_moroccan_sentiment,mixed
Mahlek,positive,kaggle_moroccan_sentiment,mixed
عندو خفة روح مش نورمال يدخل للقلب طول و الحاجة الباهية من الخطاب عالباب لتو متبدل فيه شيء ههه تحيفة هذاكة هو,positive,kaggle_moroccan_sentiment,mixed
Ma3jebniche,negative,kaggle_moroccan_sentiment,mixed
Tfouh alik ya masa5 echib w l3i🔫🔫🔫x-(x-(👎👎👎,negative,kaggle_moroccan_sentiment,mixed
bravooo si 3abd elfateh mourou,positive,kaggle_moroccan_sentiment,mixed
بنيان يهبلوا,positive,kaggle_moroccan_sentiment,mixed
هو غير غسول لا غسلتي وجهك صباح و عشية الحبوب كيبداو ينقصو,positive,huggingface_darija_reviews,Arabic
اخخخ تفووووو. عليه مسخ والله ميحشم وعار.  ملافضائح,negative,kaggle_moroccan_sentiment,mixed
والله جعفر القاسمي إنسان ضااامر و بشوش انشالله ربي يثبتك علي فعل الخيرp:,positive,kaggle_moroccan_sentiment,mixed
هههههه كنبغيكم بزاف بصراحة ضحكتوني والله,positive,huggingface_darija_reviews,Arabic
Tayaaaara barcha,positive,kaggle_moroccan_sentiment,mixed
رخيصة و تافهة,negative,kaggle_moroccan_sentiment,mixed
عادي مش أول مرة تتقال كلمة بزولة في قناة حوار الدعارة قالتها قبل وحدة هوينه مسترجلة ومرتين في البرنامج هذا اما مع راس البصل كان تتذكرو,negative,kaggle_moroccan_sentiment,mixed
Mes9etha,negative,kaggle_moroccan_sentiment,mixed
nahdaoui monafek 7aja mahiche e8riba a3lihe,negative,kaggle_moroccan_sentiment,mixed
Mahleha machaalah yeser mosrara,positive,kaggle_moroccan_sentiment,mixed
شو ها العبيثه بسم الله الرحمان الرحيم,negative,kaggle_moroccan_sentiment,mixed
Enta m3alim jaafour,positive,kaggle_moroccan_sentiment,mixed
M3alma,positive,kaggle_moroccan_sentiment,mixed
ربي يهلكم يا اعداء الدين,negative,kaggle_moroccan_sentiment,mixed
Masset barcha,negative,kaggle_moroccan_sentiment,mixed
5ir bil bera7 ama masta,negative,kaggle_moroccan_sentiment,mixed
rahmouni ya kalib,negative,kaggle_moroccan_sentiment,mixed
9adechek maset ya lotfi,negative,kaggle_moroccan_sentiment,mixed
يبقى دااااائما  حسن الفد  أحسن كوميدي  في المغرب العربي 🇲🇦❤❤❤❤,positive,huggingface_darija_reviews,Arabic
صحافي بلاش باك طحان الخوانجية,negative,kaggle_moroccan_sentiment,mixed
قمة عار انوا ناقشوا في موضوع محرم في دين اسلامي نهى عليه القران والله شي اسف انو نشوفوا كيما هل اشكال في اعلام هدا بلصتوا الحبس موش طالب بحقوق ....زايد والله .ان لم تستحي افعل ماشئت ....,negative,kaggle_moroccan_sentiment,mixed
Bravooooo si jaloul tmanite ki konet ena na9ra enti wsir nte3na bravoooo et bon continuation,positive,kaggle_moroccan_sentiment,mixed
"أسفي علا زمن يتحدث فيه (مثلي) و تتحدث فيه (عاهره) على الشرف 
tharbetou fi rou7a akther mel lezim :3
Barcha wsa5 w5maj mta3 zok omkoum l9a7ba allah la trabe7koum noktoulha omha lebled
راك ماسطاااا.....راك لاسطااااا .... ههههه
ماسط يمكن لكن الامسط منو شكيب
Maaaassssssssssset",negative,kaggle_moroccan_sentiment,mixed
kamcha rhout,negative,kaggle_moroccan_sentiment,mixed
جهاز كله مشاكل واول مشكله من تفتح سناب يطلع صوت مزعج وما في 2000شمعة في ضوء الشمس نفس 13,negative,huggingface_darija_reviews,Arabic
jabri yessir w masit -_-,negative,kaggle_moroccan_sentiment,mixed
Milla chleyek hhhh,negative,kaggle_moroccan_sentiment,mixed
تحسها غالطة في روحها,negative,kaggle_moroccan_sentiment,mixed
masetttttttt barcha,negative,kaggle_moroccan_sentiment,mixed
mil e5er rak majit chay,negative,kaggle_moroccan_sentiment,mixed
ماهوش صادق و ما يعرفش يسمع باش بعد يناقش ويحلل  وواضحة جدا انتمائه,negative,kaggle_moroccan_sentiment,mixed
Akhti khyb,negative,huggingface_darija_reviews,Arabizi
Ya3tiha saha,positive,kaggle_moroccan_sentiment,mixed
محلاك يا مي ♡♡♡,positive,kaggle_moroccan_sentiment,mixed
ena metchamta fiha testahel w el 7agar ymout dhlil ma5yebha wel 3ib mouch fiha fi rajelha eli ba3etha ldlilek mlak,negative,kaggle_moroccan_sentiment,mixed
كلبه خامجه هذا راينا بكل بساطه ؛ شكوني هالعافنه بش تقيم احمد الاندلسي ؛ انا اسمها مانعرفوش ؛ مثلت في فيلم خامج كيفها ؛ ولات تعطي في رايها هههه,negative,kaggle_moroccan_sentiment,mixed
hadeka sid al rjel,positive,kaggle_moroccan_sentiment,mixed
واش تربى فيكم العجز؟سيرو جمع حطب و شوي معا راسك ؟ ضروري الفاخر …الحطب غي مشتت فالغابة  و العروبيات..عطا الله الحلةل غي حنا لي ولينا استهلاكيين بلا قياس,negative,hespress_manual_khalid,Arabic
Hhhhhhhh. Ma7leha. Fih. Hhhhhhh,positive,kaggle_moroccan_sentiment,mixed
Best review,positive,huggingface_darija_reviews,Arabizi
Vraiment tayara barcha,positive,kaggle_moroccan_sentiment,mixed
لمعلم,positive,kaggle_moroccan_sentiment,mixed
أحسن ممثلة في تونس ♥♥,positive,kaggle_moroccan_sentiment,mixed
باولادي تحس موش تمثيل تقول بالرسمي برافووووو,positive,kaggle_moroccan_sentiment,mixed
mala 7ala tfouhhhhhhhhhhhhhhhhhhh,negative,kaggle_moroccan_sentiment,mixed
بصراحة مثقفة و تعرف تحكي,positive,kaggle_moroccan_sentiment,mixed
لا تمثلني ولا تقنعني !,negative,kaggle_moroccan_sentiment,mixed
Ghda tkhrj lik lhbob,negative,huggingface_darija_reviews,Arabizi
ma mnawer ya walid,positive,kaggle_moroccan_sentiment,mixed
Wallahi bakkani essa5ta,negative,kaggle_moroccan_sentiment,mixed
:* :* :* :* :* :* beravou meryouwm,positive,kaggle_moroccan_sentiment,mixed
خفنا ليصورونا الثقة مكايناش نعس فالمحطة ومنعس فالفندق,negative,huggingface_darija_reviews,Arabic
يعطيك الصحّه برسمي عجبني موقفك,positive,kaggle_moroccan_sentiment,mixed
Bon courage pour la telefon s22+,positive,huggingface_darija_reviews,Arabizi
Bravo maryim,positive,kaggle_moroccan_sentiment,mixed
M3alem bravo,positive,kaggle_moroccan_sentiment,mixed
ساعه رائعة  ومراجعة رائعة,positive,huggingface_darija_reviews,Arabic
Ma7lha moslesl,positive,kaggle_moroccan_sentiment,mixed
Na7aw aka lmasta maya jebo wa7ed amset mznha pfffffff,negative,kaggle_moroccan_sentiment,mixed
A7sen momathellll,positive,kaggle_moroccan_sentiment,mixed
Khty dak garnier o Neutrogena hi matkhdihomchi la plupart galo khaybin,negative,huggingface_darija_reviews,Arabizi
rabbi m3ak ya tounsiya,positive,kaggle_moroccan_sentiment,mixed
Ma7lek bravi,positive,kaggle_moroccan_sentiment,mixed
3al 7it,negative,kaggle_moroccan_sentiment,mixed
مرزينكم القوة لله وممصتكم اعوذ بالله من الوجوه النتنة,negative,kaggle_moroccan_sentiment,mixed
Bravo kafon,positive,kaggle_moroccan_sentiment,mixed
إنسان لا يعرف معنى الحوار تافه 😅 👎👌,negative,kaggle_moroccan_sentiment,mixed
Hhhh tayara ya sami,positive,kaggle_moroccan_sentiment,mixed
امرأة فاضلة,positive,kaggle_moroccan_sentiment,mixed
هذا إن دل فإنما يدل على مدى الحقد و الحسد الذي يكنه لنا نظام العسكر الكرغولي بالأمس قذائف ذات صنع إيراني تسقط بضواحي السمارة فكيف لشاحنات مدنية معزولة مغربية بين الحدود الموريتانية المالية,negative,hespress_manual_khalid,Arabic
Bravooooo😄,positive,kaggle_moroccan_sentiment,mixed
7al9a masta,negative,kaggle_moroccan_sentiment,mixed
sa7it nour wassel,positive,kaggle_moroccan_sentiment,mixed
راك معلم.,positive,kaggle_moroccan_sentiment,mixed
Abda3t ya kafon ama ech3ar wel mrayet mahomch mwetin b3adhhom,positive,kaggle_moroccan_sentiment,mixed
باارشاا قحب :),negative,kaggle_moroccan_sentiment,mixed
لا حول الله لا خير لا فيك و لا في خوك كل انسان اندو حق الرد اما بالطريقة هذي  سامحني فيك قلة تربية,negative,kaggle_moroccan_sentiment,mixed
ناااااااضي نيت اعطي الموت موتة😬😬💥,positive,huggingface_darija_reviews,Arabic
مسلسل روعة اختكم من الجزاءر,positive,kaggle_moroccan_sentiment,mixed
beha9 momtez raw3a,positive,kaggle_moroccan_sentiment,mixed
احسن ماركة عندي هي سامسونغ,positive,huggingface_darija_reviews,Arabic
baya mamestek na7ih el boudi 5ir winti thabet w t3awed,negative,kaggle_moroccan_sentiment,mixed
tahfoun barchha bon courag fehri sami,positive,kaggle_moroccan_sentiment,mixed
أحلى صافي سعيد,positive,kaggle_moroccan_sentiment,mixed
راجل وسيد الرجال ..ظاهر راجل شبعان وعينوا مليانة رغم الفقر/..والفقر فقر المخ والنفوس..ويستحق أعلى وسام في الدولة..برافو وربي يكثر منو  الناس   ...,positive,kaggle_moroccan_sentiment,mixed
مبرووووك القناعة باهية,positive,kaggle_moroccan_sentiment,mixed
Bourjouliaaa baredli 3ala 9albi bklamou  bravo walid,positive,kaggle_moroccan_sentiment,mixed
محل لك يا وجيهة أما أنت راك فنانة هلامية بلاثتك موش في تونس علاش ما تعملش كيما سناء كويس عفوا سناء يوسف,positive,kaggle_moroccan_sentiment,mixed
ما قنعنيش :/,negative,kaggle_moroccan_sentiment,mixed
تافهة و غناها أتفه منها,negative,kaggle_moroccan_sentiment,mixed
7ayawan bellehi kifch jeybin wa7ed masa5 kima hetha bellehi wala aka eli ta7ki 3la artiste w jeyba ma3andha ki enti msenda wa7ed kima hatheka bara 3aras b antha zeyd cho win wselna,negative,kaggle_moroccan_sentiment,mixed
malla kertha,negative,kaggle_moroccan_sentiment,mixed
